ID,Pedigree,DYSKIN,EASPIN,EPPIN,PLHTIN,PLHTUN,PLSTIN,STRCO1,STRCO2,STRRAT1,STRRAT2,YLDIN
81,ACR97TZLComp1-YS129-2-2-1-B-2-B*11,64.500,2.625,1.14247,138.000,142.125,16.875,1.500,3.625,3.000,5.000,2675.840
82,1368STR ,65.376,3.688,0.51148,127.750,148.750,15.125,44.000,55.375,6.625,8.250,955.980
83,1393-BBB,66.331,3.313,0.54502,133.750,147.500,15.750,21.250,25.625,5.375,6.875,1280.330
84,ACR97TZL-CCOMP1-Y-S3-12-2-B*8,67.914,3.188,0.43582,137.875,136.750,16.500,7.000,10.625,3.875,6.000,1244.300
85,ACR97TZL-CCOMP1-Y-S3-6-1-B*9,66.250,3.625,0.64792,114.500,131.875,13.375,11.500,19.500,4.375,6.375,1130.940
86,ACR97TZL-CCOMP1-Y-S3-35-2-B*10,63.750,2.750,0.83459,115.125,126.125,15.125,13.500,27.125,3.375,5.125,2269.390
87,9450xKI21-3-2-2-2-1-B*8,62.875,3.125,0.67086,114.125,130.625,15.625,20.750,33.875,5.000,6.500,1193.350
88,(TZLCOMP1-WC6/(WhiteDTSTRSyn/TZLCOMP1-W))-165-BBB-1,64.750,3.063,0.74432,125.375,126.250,13.000,4.875,8.375,4.250,6.000,1739.750
89,(TZLCOMP1-WC6/(WhiteDTSTRSyn/TZLCOMP1-W))-259-BBB-3,64.875,2.563,0.89789,112.375,139.250,15.250,10.875,23.625,3.000,4.500,2756.170
90,1368,65.638,3.688,0.38705,123.375,125.250,15.250,56.375,87.125,7.375,9.000,745.560
91,4001,65.625,2.688,0.9678,125.875,136.500,16.125,40.000,60.000,3.500,5.000,2307.380
92,9030,64.250,3.188,0.92581,118.625,143.750,15.375,50.750,70.875,4.625,7.125,1867.740
93,9071,66.377,3.875,0.34632,133.750,143.125,14.375,60.500,75.125,5.875,7.500,745.280
94,9450,65.474,3.313,0.63646,123.750,133.500,12.875,13.750,16.500,4.875,7.000,930.330
95,4001 STR,65.875,2.875,0.74174,116.500,127.875,15.500,29.250,48.625,3.875,5.625,1799.240
96,9030 STR,64.750,2.875,0.86238,138.500,143.500,16.375,15.125,20.125,4.500,6.500,1681.880
97,ACR97SYN-Y-S1-79-B-B-B-B/Z. Diplo.BC4-467-4-1-2-1-1-B-1-B-B-B-B-B,66.500,3.375,0.50589,151.000,153.375,16.125,23.125,41.500,4.125,5.750,1312.400
98,ACR97TZL-CCOMP1-Y-S3-56-1-B-B,67.750,3.563,0.61646,131.125,152.500,16.000,23.625,35.250,4.375,7.000,752.950
99,KU1414-SR,69.000,3.375,0.58391,124.000,132.125,15.625,25.500,38.125,5.625,7.625,1022.840
100,MMB90,58.709,3.625,0.35315,141.000,152.250,14.000,34.375,64.375,4.000,6.625,642.360
101,POP43 SR S5-3-1-1-1-1-1-B-B-B-B-B,68.000,3.250,0.69403,104.250,109.875,16.250,36.875,55.125,5.375,7.750,1326.700
102,TZL Comp. IC4 S1-37-1-B-B-B-B-B-B,63.125,2.813,1.03137,144.625,141.750,16.375,3.250,4.375,2.625,4.000,2549.540
103,TZL Comp. IC4 S1-37-5-B-B-B-B-B-B,64.875,2.563,0.83251,127.125,138.000,15.750,5.000,10.000,2.750,4.500,2607.320
104,TZLComp1(TC87)-2-#-4-1-4-B-1-B*7,67.375,3.063,0.79391,145.500,150.750,15.875,5.750,12.000,2.750,4.750,1656.540
105,Z. Diplo.BC4-467-4-1-2-1-1-B-1-B-B-B-B-B-B,68.500,2.875,0.65244,137.875,144.625,13.500,10.000,17.500,3.500,5.875,1702.180
106,ZDiploBC4-551-2-1-#-1-3-B-2-B*7,65.000,3.125,0.7951,130.500,140.875,16.125,15.875,27.500,4.000,5.875,1762.060
107,ACR97SYN-Y-S1-38-B-B,63.375,3.063,0.57683,113.250,123.500,15.750,10.750,17.125,3.500,5.500,1556.150
108,ACR97SYN-Y-S1-79-B-B-B,67.045,3.438,0.51699,94.875,116.125,14.750,26.750,39.625,4.875,7.000,1150.680
109,ACR97TZL-CCOMP1-Y-S3-33-6-B*8,67.375,2.813,0.7064,122.500,132.250,14.750,20.750,32.750,3.500,5.125,1904.810
110,KU1414 STR,62.250,3.125,1.03793,138.750,140.625,16.000,34.875,44.750,3.125,5.250,1762.440
111,TZLComp1-(TC87)-2-#-5-1-5-B-1-B*9,64.000,2.625,0.97045,130.625,130.625,15.250,19.000,27.375,4.375,7.250,2033.140
112,Z. Diplo. BC4-282-5-2-2-1-B-1-B-B-B,63.375,3.000,0.85449,131.875,142.125,15.750,13.250,18.250,4.500,6.500,1790.420
113,Z. diplo. BC4-472-2-2-1-6-4-B-B,65.875,2.750,0.69545,118.750,133.875,16.250,5.750,11.000,3.500,4.875,1696.670
114,Z. Diplo.BC4 -290-4-2-1-1-B-1-B-B-B,62.750,3.250,0.64395,119.000,138.000,15.875,12.625,26.125,3.625,5.500,1247.970
115,Z. Diplo.BC4-472-2-2-1-2-3-B-1-B-B-B,65.375,3.000,0.70358,123.750,136.375,16.500,20.875,32.750,3.750,5.750,1737.170
116,Z.Diplo.BC4-19-4-1-#-3-1-B-1-B-B-B-B-B-B,64.375,2.688,0.8114,126.625,128.875,15.875,14.250,19.500,2.875,4.750,1955.360
